city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Durban,2009-04-24,Royal Challengers Bangalore,68.0,RS Bopara,1,2009,bat,Royal Challengers Bangalore,Kingsmead,Kings XI Punjab,Kings XI Punjab
Durban,2009-04-25,Deccan Chargers,69.0,PP Ojha,1,2009,bat,Deccan Chargers,Kingsmead,Mumbai Indians,Deccan Chargers
Port Elizabeth,2009-04-26,Royal Challengers Bangalore,70.0,TM Dilshan,1,2009,bat,Royal Challengers Bangalore,St George's Park,Delhi Daredevils,Delhi Daredevils
Cape Town,2009-04-26,Kings XI Punjab,71.0,KC Sangakkara,1,2009,bat,Kings XI Punjab,Newlands,Rajasthan Royals,Kings XI Punjab
Durban,2009-04-27,Chennai Super Kings,72.0,HH Gibbs,1,2009,field,Deccan Chargers,Kingsmead,Deccan Chargers,Deccan Chargers
Port Elizabeth,2009-04-27,Kolkata Knight Riders,73.0,SR Tendulkar,1,2009,bat,Mumbai Indians,St George's Park,Mumbai Indians,Mumbai Indians
Centurion,2009-04-28,Delhi Daredevils,74.0,YK Pathan,1,2009,bat,Delhi Daredevils,SuperSport Park,Rajasthan Royals,Rajasthan Royals
Durban,2009-04-29,Royal Challengers Bangalore,75.0,MV Boucher,1,2009,bat,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore
Durban,2009-04-29,Kings XI Punjab,76.0,KC Sangakkara,1,2009,bat,Kings XI Punjab,Kingsmead,Mumbai Indians,Kings XI Punjab
Centurion,2009-04-30,Chennai Super Kings,77.0,SK Raina,1,2009,field,Rajasthan Royals,SuperSport Park,Rajasthan Royals,Chennai Super Kings
Centurion,2009-04-30,Deccan Chargers,78.0,DP Nannes,1,2009,field,Delhi Daredevils,SuperSport Park,Delhi Daredevils,Delhi Daredevils
East London,2009-05-01,Kolkata Knight Riders,79.0,JP Duminy,1,2009,bat,Mumbai Indians,Buffalo Park,Mumbai Indians,Mumbai Indians
Durban,2009-05-01,Royal Challengers Bangalore,80.0,Yuvraj Singh,1,2009,bat,Royal Challengers Bangalore,Kingsmead,Kings XI Punjab,Royal Challengers Bangalore
Johannesburg,2009-05-02,Chennai Super Kings,81.0,SB Jakati,1,2009,field,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,Chennai Super Kings
Port Elizabeth,2009-05-02,Deccan Chargers,82.0,YK Pathan,1,2009,bat,Deccan Chargers,St George's Park,Rajasthan Royals,Rajasthan Royals
Port Elizabeth,2009-05-03,Kings XI Punjab,83.0,DPMD Jayawardene,1,2009,bat,Kolkata Knight Riders,St George's Park,Kolkata Knight Riders,Kings XI Punjab
Johannesburg,2009-05-03,Royal Challengers Bangalore,84.0,JH Kallis,1,2009,bat,Mumbai Indians,New Wanderers Stadium,Mumbai Indians,Royal Challengers Bangalore
East London,2009-05-04,Chennai Super Kings,85.0,MS Dhoni,1,2009,bat,Chennai Super Kings,Buffalo Park,Deccan Chargers,Chennai Super Kings
Durban,2009-05-05,Kings XI Punjab,86.0,GC Smith,1,2009,field,Kings XI Punjab,Kingsmead,Rajasthan Royals,Rajasthan Royals
Durban,2009-05-05,Delhi Daredevils,87.0,G Gambhir,1,2009,bat,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,Delhi Daredevils
Centurion,2009-05-06,Deccan Chargers,88.0,RG Sharma,1,2009,bat,Deccan Chargers,SuperSport Park,Mumbai Indians,Deccan Chargers
Centurion,2009-05-07,Royal Challengers Bangalore,89.0,A Singh,1,2009,field,Rajasthan Royals,SuperSport Park,Rajasthan Royals,Rajasthan Royals
Centurion,2009-05-07,Chennai Super Kings,90.0,ML Hayden,1,2009,bat,Chennai Super Kings,SuperSport Park,Kings XI Punjab,Chennai Super Kings
East London,2009-05-08,Delhi Daredevils,91.0,A Nehra,1,2009,bat,Mumbai Indians,Buffalo Park,Mumbai Indians,Delhi Daredevils
Kimberley,2009-05-09,Chennai Super Kings,92.0,S Badrinath,1,2009,bat,Rajasthan Royals,De Beers Diamond Oval,Rajasthan Royals,Chennai Super Kings
