match_id,date,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,dl_applied,winner,player_of_match
541,2016-04-28,Mumbai,2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1,0,Mumbai Indians,RG Sharma
542,2016-04-29,Pune,2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Maharashtra Cricket Association Stadium,1,0,Gujarat Lions,DR Smith
543,2016-04-30,Delhi,2016,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,1,0,Delhi Daredevils,CR Brathwaite
544,2016-04-30,Hyderabad,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,DA Warner
545,2016-05-01,Rajkot,2016,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Saurashtra Cricket Association Stadium,1,0,Kings XI Punjab,AR Patel
546,2016-05-01,Pune,2016,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Maharashtra Cricket Association Stadium,1,0,Mumbai Indians,RG Sharma
547,2016-05-02,Bangalore,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,1,0,Kolkata Knight Riders,AD Russell
548,2016-05-03,Rajkot,2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Saurashtra Cricket Association Stadium,1,0,Delhi Daredevils,RR Pant
549,2016-05-04,Kolkata,2016,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens,1,0,Kolkata Knight Riders,AD Russell
550,2016-05-05,Delhi,2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Feroz Shah Kotla,1,0,Rising Pune Supergiants,AM Rahane
551,2016-05-06,Hyderabad,2016,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,B Kumar
552,2016-05-07,Bangalore,2016,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,0,Royal Challengers Bangalore,V Kohli
553,2016-05-07,Chandigarh,2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Kings XI Punjab,MP Stoinis
554,2016-05-08,Visakhapatnam,2016,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,Sunrisers Hyderabad,A Nehra
555,2016-05-08,Kolkata,2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Eden Gardens,1,0,Gujarat Lions,P Kumar
556,2016-05-09,Chandigarh,2016,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Royal Challengers Bangalore,SR Watson
557,2016-05-10,Visakhapatnam,2016,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,Sunrisers Hyderabad,A Zampa
558,2016-05-11,Bangalore,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,0,Mumbai Indians,KH Pandya
559,2016-05-12,Hyderabad,2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Delhi Daredevils,CH Morris
560,2016-05-13,Visakhapatnam,2016,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,Kings XI Punjab,MP Stoinis
561,2016-05-14,Bangalore,2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,M Chinnaswamy Stadium,1,0,Royal Challengers Bangalore,AB de Villiers
562,2016-05-14,Kolkata,2016,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,bat,Eden Gardens,1,1,Kolkata Knight Riders,YK Pathan
563,2016-05-15,Chandigarh,2016,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Sunrisers Hyderabad,HM Amla
564,2016-05-15,Visakhapatnam,2016,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,Mumbai Indians,KH Pandya
565,2016-05-16,Kolkata,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,1,0,Royal Challengers Bangalore,V Kohli
566,2016-05-17,Visakhapatnam,2016,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,1,Rising Pune Supergiants,AB Dinda
567,2016-05-18,Bangalore,2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,1,Royal Challengers Bangalore,V Kohli
568,2016-05-19,Kanpur,2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Green Park,1,0,Gujarat Lions,DR Smith
569,2016-05-20,Raipur,2016,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,Shaheed Veer Narayan Singh International Stadium,1,0,Delhi Daredevils,KK Nair
570,2016-05-21,Visakhapatnam,2016,Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,Rising Pune Supergiants,MS Dhoni
571,2016-05-21,Kanpur,2016,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,Green Park,1,0,Gujarat Lions,SK Raina
572,2016-05-22,Kolkata,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,1,0,Kolkata Knight Riders,YK Pathan
573,2016-05-22,Raipur,2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Shaheed Veer Narayan Singh International Stadium,1,0,Royal Challengers Bangalore,V Kohli
574,2016-05-24,Bangalore,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,0,Royal Challengers Bangalore,AB de Villiers
575,2016-05-25,Delhi,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,1,0,Sunrisers Hyderabad,MC Henriques
576,2016-05-27,Delhi,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,1,0,Sunrisers Hyderabad,DA Warner
577,2016-05-29,Bangalore,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,1,0,Sunrisers Hyderabad,BCJ Cutting
578,2017-04-05,Hyderabad,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,Yuvraj Singh
579,2017-04-06,Pune,2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,1,0,Rising Pune Supergiant,SPD Smith
580,2017-04-07,Rajkot,2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Saurashtra Cricket Association Stadium,1,0,Kolkata Knight Riders,CA Lynn
