player_code,player_id,full_name,country,role,batting_style,bowling_style,born
A Nehra,31820,,India,Bowler,Right-hand bat,Left-arm medium-fast,"
April 29, 1979, Delhi "
L Ngidi,542023,,South Africa,Bowler,Right-hand bat,Right-arm fast,"
March 29, 1996, Durban, Natal "
M Ntini,46592,,South Africa,,Right-hand bat,Right-arm fast,"
July 6, 1977, Mdingi, nr King William's Town, Cape Province "
JDP Oram,38062,,New Zealand,Allrounder,Left-hand bat,Right-arm fast-medium,"
July 28, 1978, Palmerston North, Manawatu "
IC Pandey,447439,,India,Bowler,Right-hand bat,Right-arm medium,"
August 15, 1989, Rewa, Madhya Pradesh "
PA Patel,32242,,India,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,"
March 9, 1985, Ahmedabad, Gujarat "
NLTC Perera,233514,,Sri Lanka,Bowling allrounder,Left-hand bat,Right-arm medium-fast,"
April 3, 1989, Colombo "
SK Raina,33335,,India,Middle-order batsman,Left-hand bat,Right-arm offbreak,"
November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh "
AS Rajpoot,591650,,India,Bowler,Right-hand bat,Right-arm medium,"
December 4, 1993, Kanpur "
AT Rayudu,33141,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
September 23, 1985, Guntur, Andhra Pradesh "
WP Saha,279810,,India,Wicketkeeper batsman,Right-hand bat,,"
October 24, 1984, Shaktigarh "
MJ Santner,502714,,New Zealand,Bowling allrounder,Left-hand bat,Slow left-arm orthodox,"
February 5, 1992, Hamilton "
V Shankar,477021,,India,Allrounder,Right-hand bat,Right-arm medium,"
January 26, 1991, Tirunelveli, Tamil Nadu "
KV Sharma,30288,,India,Bowler,Left-hand bat,Legbreak googly,"
October 23, 1987, Meerut, Uttar Pradesh "
MM Sharma,537119,,India,Bowler,Right-hand bat,Right-arm medium,"
September 18, 1988, Ballabhgarh, Haryana "
DR Shorey,590327,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
June 5, 1992, Delhi "
DR Smith,53118,,West Indies,Allrounder,Right-hand bat,Right-arm medium,"
April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados "
TG Southee,232364,,New Zealand,Bowler,Right-hand bat,Right-arm medium-fast,"
December 11, 1988, Whangarei, Northland "
SB Styris,38407,,New Zealand,Allrounder,Right-hand bat,Right-arm medium,"
July 10, 1975, Brisbane, Queensland, Australia "
SN Thakur,475281,,India,Bowler,Right-hand bat,Right-arm medium,"
October 16, 1991, Palghar, Maharashtra "
T Thushara,49677,,Sri Lanka,Bowler,Left-hand bat,Left-arm fast-medium,"
March 1, 1981, Balapitiya "
S Tyagi,317784,,India,Bowler,Right-hand bat,Right-arm medium,"
September 17, 1987, Ghaziabad, Uttar Pradesh "
S Vidyut,35619,,India,,Left-hand bat,Slow left-arm orthodox,"
December 3, 1981, Madras (now Chennai), Tamil Nadu "
M Vijay,237095,,India,Opening batsman,Right-hand bat,Right-arm offbreak,"
April 1, 1984, Chennai "
SR Watson,8180,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
June 17, 1981, Ipswich, Queensland "
DJ Willey,308251,,England,Allrounder,Left-hand bat,Left-arm fast-medium,"
February 28, 1990, Northampton "
MA Wood,351588,,England,Bowler,Right-hand bat,Right-arm fast,"
January 11, 1990, Ashington, Northumberland "
Anand Rajan,26797,,India,Bowler,Right-hand bat,Right-arm medium,"
April 17, 1987, Nagpur, Maharashtra "
Anirudh Singh,26252,,India,,Left-hand bat,Right-arm medium,"
August 2, 1980, Hyderabad, Andhra Pradesh "
Ankit Sharma,422992,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
April 20, 1991, Gwalior, Madhya Pradesh "
A Ashish Reddy,389605,,India,Allrounder,Right-hand bat,Right-arm medium,"
February 24, 1991, Secunderabad "
SB Bangar,27225,,India,,Right-hand bat,Right-arm medium-fast,"
October 11, 1972, Bid, Maharashtra "
AA Bilakhia,26946,,India,,Right-hand bat,Right-arm medium,"
May 31, 1986, Mohwa, Bhavnagar, Gujarat "
B Chipli,27685,,India,Batsman,Right-hand bat,Right-arm medium,"
January 27, 1983, Sagar, Shivmoga, Karantaka "
