player_code,player_id,full_name,country,role,batting_style,bowling_style,born
J Yadav,447587,,India,Bowler,Right-hand bat,Right-arm offbreak,"
January 22, 1990, Delhi "
UT Yadav,376116,,India,Bowler,Right-hand bat,Right-arm fast,"
October 25, 1987, Nagpur, Maharashtra "
Yuvraj Singh,36084,,India,Middle-order batsman,Left-hand bat,Slow left-arm orthodox,"
December 12, 1981, Chandigarh "
AD Nath,500360,,India,Middle-order batsman,Right-hand bat,Right-arm medium-fast,"
May 10, 1993, Lucknow "
SS Agarwal,1079668,,India,,Right-hand bat,Legbreak googly,"
November 21, 1993, Raigadh, Gujarat "
Ankit Soni,1083128,,India,Allrounder,Right-hand bat,Legbreak,"
August 2, 1993 "
Basil Thampi,732291,,India,Bowler,Right-hand bat,Right-arm fast-medium,"
September 11, 1993, Ernakulam, Kerala "
ER Dwivedi,340841,,India,Wicketkeeper,Right-hand bat,,"
July 22, 1988, Allahabad "
JP Faulkner,270484,,Australia,Bowling allrounder,Right-hand bat,Left-arm fast-medium,"
April 29, 1990, Launceston, Tasmania "
Ishan Kishan,720471,,India,Wicketkeeper batsman,Left-hand bat,,"
July 18, 1998, Patna, Bihar "
S Kaushik,917213,,India,Bowler,Right-hand bat,Slow left-arm chinaman,"
September 7, 1995 "
DS Kulkarni,277955,,India,Bowler,Right-hand bat,Right-arm medium,"
December 10, 1988, Bombay (now Mumbai), Maharashtra "
P Kumar,30732,,India,Bowler,Right-hand bat,Right-arm medium,"
October 2, 1986, Meerut, Uttar Pradesh "
MM Patel,32965,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
July 12, 1983, Ikhar, Gujarat "
NB Singh,853259,,India,Bowler,Right-hand bat,Right-arm medium,"
September 8, 1995, Jaipur "
PV Tambe,587152,,India,Bowler,Right-hand bat,Legbreak,"
October 8, 1971, Bombay (now Mumbai), Maharashtra "
Tejas Baroka,1082859,,India,,Right-hand bat,Legbreak googly,"
February 1, 1996, Pondicherry "
AJ Tye,459508,,Australia,Bowler,Right-hand bat,Right-arm medium-fast,"
December 12, 1986, Perth, Western Australia "
KJ Abbott,297583,,South Africa,Bowler,Right-hand bat,Right-arm fast-medium,"
June 18, 1987, Empangeni, KwaZulu-Natal "
YA Abdulla,224367,,South Africa,Bowler,Left-hand bat,Left-arm fast-medium,"
January 17, 1983, Johannesburg, Transvaal "
L Ablish,26236,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
December 3, 1982, Ludhiana, Punjab "
HM Amla,43906,,South Africa,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak","
March 31, 1983, Durban, Natal "
Anureet Singh,376324,,India,Bowler,Right-hand bat,Right-arm medium,"
March 2, 1988, Delhi "
Arshdeep Singh,1125976,,India,Bowler,Left-hand bat,Left-arm medium-fast,"
February 5, 1999, Guna, Madhya Pradesh "
M Ashwin,528067,,India,Bowler,Right-hand bat,Legbreak googly,"
September 8, 1990, Chennai, Tamil Nadu "
P Awana,323131,,India,Bowler,Right-hand bat,Right-arm medium,"
July 19, 1986, Delhi, India "
Azhar Mahmood,39024,,Pakistan,,Right-hand bat,Right-arm fast-medium,"
February 28, 1975, Rawalpindi, Punjab "
AB Barath,274926,,West Indies,Opening batsman,Right-hand bat,Right-arm offbreak,"
April 14, 1990, Chaguanas, Trinidad "
F Behardien,44410,,South Africa,Batting allrounder,Right-hand bat,Right-arm fast-medium,"
October 9, 1983, Johannesburg "
BA Bhatt,433410,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
May 13, 1990, Vadodara, Gujarat "
Bipul Sharma,35928,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
September 28, 1983, Amritsar, Punjab "
MS Bisla,27280,,India,Wicketkeeper,Right-hand bat,,"
December 27, 1984, Hisar, Haryana "
RS Bopara,10582,,England,Batting allrounder,Right-hand bat,Right-arm medium,"
May 4, 1985, Forest Gate, London "
RR Bose,27572,,India,,Right-hand bat,Right-arm fast-medium,"
February 27, 1979, Calcutta (now Kolkata), Bengal "
KC Cariappa,777537,,India,Bowler,Right-hand bat,Legbreak,"
April 13, 1994, Bangalore, Karnataka "
SD Chitnis,337916,,India,Batsman,Right-hand bat,Right-arm offbreak,"
May 6, 1987, Bombay (now Mumbai), Maharashtra "
SS Cottrell,495551,,West Indies,Bowler,Right-hand bat,Left-arm fast-medium,"
August 19, 1989, Jamaica "
P Dharmani,28067,,India,,Right-hand bat,,"
September 27, 1974, Delhi "
R Dhawan,290727,,India,Allrounder,Right-hand bat,Right-arm medium-fast,"
February 19, 1990, Mandi, Himachal Pradesh "
P Dogra,28160,,India,Batsman,Right-hand bat,Legbreak,"
November 19, 1984, Palampur, Himachal Pradesh "
Gagandeep Singh,28758,,India,,Right-hand bat,Right-arm medium-fast,"
October 3, 1981, Ludhiana, Punjab "
CH Gayle,51880,,West Indies,Allrounder,Left-hand bat,Right-arm offbreak,"
September 21, 1979, Kingston, Jamaica "
K Goel,28997,,India,,Left-hand bat,Right-arm offbreak,"
December 24, 1986, Ludhiana, Punjab "
K Gowtham,424377,,India,Bowling allrounder,Right-hand bat,Right-arm offbreak,"
October 20, 1988, Bangalore, Karnataka "
MJ Guptill,226492,,New Zealand,Opening batsman,Right-hand bat,Right-arm offbreak,"
September 30, 1986, Auckland "
Gurkeerat Singh,537124,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
June 29, 1990, Muktsar, Punjab "
Harpreet Brar,1168641,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 16, 1995, Moga, Punjab "
BE Hendricks,379927,,South Africa,Bowler,Left-hand bat,Left-arm fast-medium,"
June 8, 1990, Louis Leipoldt Hospital, Bellville, Cape Town "
MJ Henry,506612,,New Zealand,Bowler,Right-hand bat,Right-arm fast-medium,"
December 14, 1991, Christchurch, Canterbury "
MG Johnson,6033,,Australia,Bowler,Left-hand bat,Left-arm fast,"
November 2, 1981, Townsville, Queensland "
CJ Jordan,288992,,England,Bowler,Right-hand bat,Right-arm fast-medium,"
October 4, 1988, Barbados "
M Kaif,29990,,India,Batsman,Right-hand bat,Right-arm offbreak,"
December 1, 1980, Allahabad, Uttar Pradesh "
Karanveer Singh,322535,,India,,Right-hand bat,Legbreak googly,"
November 8, 1987, Chandigarh, Punjab "
M Kartik,30049,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 11, 1976, Madras (now Chennai), Tamil Nadu "
SM Katich,6128,,Australia,Batsman,Left-hand bat,Slow left-arm chinaman,"
August 21, 1975, Middle Swan, Western Australia "
U Kaul,30235,,India,Wicketkeeper,Left-hand bat,,"
December 2, 1987, Kangra, Himachal Pradesh "
SN Khan,642525,,India,Middle-order batsman,Right-hand bat,Legbreak,"
October 22, 1997, Mumbai "
T Kohli,331855,,India,,Right-hand bat,Right-arm medium,"
December 17, 1988, Jalandhar, Punjab "
B Lee,6278,,Australia,Bowler,Right-hand bat,Right-arm fast,"
November 8, 1976, Wollongong, New South Wales "
R McLaren,46393,,South Africa,Allrounder,Left-hand bat,Right-arm medium-fast,"
February 9, 1983, Kimberley, Cape Province "
VS Malik,31738,,India,Bowler,Right-hand bat,Right-arm medium,"
May 9, 1983, Vishakapatnam (Andhra) "
Mandeep Singh,398506,,India,Allrounder,Right-hand bat,Right-arm medium,"
December 18, 1991, Jalandhar, Punjab "
SE Marsh,6683,,Australia,Top-order batsman,Left-hand bat,Slow left-arm orthodox,"
July 9, 1983, Narrogin, Western Australia "
AD Mascarenhas,16932,,England,Allrounder,Right-hand bat,Right-arm fast-medium,"
October 30, 1977, Chiswick, Middlesex "
DA Miller,321777,,South Africa,Middle-order batsman,Left-hand bat,Right-arm offbreak,"
June 10, 1989, Pietermaritzburg, Natal "
EJG Morgan,24598,,England,Middle-order batsman,Left-hand bat,Right-arm medium,"
September 10, 1986, Dublin "
WA Mota,31041,,India,,Right-hand bat,Right-arm medium,"
September 20, 1981, Bombay (now Mumbai), Maharashtra "
Mujeeb Ur Rahman,974109,,Afghanistan,Bowler,Right-hand bat,Right-arm offbreak,"
March 28, 2001, Khost "
NS Naik,554700,,India,Wicketkeeper batsman,Right-hand bat,,"
November 9, 1994, Savantwadi, Maharashtra "
T Natarajan,802575,,India,Bowler,Left-hand bat,Left-arm medium,"
May 27, 1991, Salem "
AM Nayar,32091,,India,Allrounder,Left-hand bat,Right-arm medium,"
October 8, 1983, Secunderabad, Hyderabad "
MG Neser,376169,,Australia,Bowling allrounder,Right-hand bat,Right-arm medium-fast,"
March 29, 1990, Pretoria, South Africa "
LA Pomersbach,232284,,Australia,Batsman,Left-hand bat,Right-arm offbreak,"
September 28, 1984, Bentley, Perth, Western Australia "
N Pooran,604302,,West Indies,Wicketkeeper batsman,Left-hand bat,,"
October 2, 1995, Trinidad "
RR Powar,32391,,India,Bowler,Right-hand bat,Right-arm offbreak,"
May 20, 1978, Bombay (now Mumbai), Maharashtra "
CA Pujara,32540,,India,Top-order batsman,Right-hand bat,Legbreak,"
January 25, 1988, Rajkot, Gujarat "
KL Rahul,422108,,India,Opening batsman,Right-hand bat,,"
April 18, 1992, Bangalore, Karnataka "
Ravi Bishnoi,1175441,,India,Bowler,Right-hand bat,Legbreak googly,"
September 5, 2000, Jodhpur, Rajasthan "
NJ Rimmington,7443,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
November 11, 1982, Redcliffe, Queensland "
P Sahu,34155,,India,Allrounder,Right-hand bat,Legbreak googly,"
August 21, 1985, Bhiwani "
N Saini,274785,,India,,Right-hand bat,,"
October 28, 1988, Rohtak "
Sandeep Sharma,438362,,India,Bowler,Right-hand bat,Right-arm medium,"
May 18, 1993, Patiala, Punjab "
RR Sarwan,52969,,West Indies,Batsman,Right-hand bat,Legbreak,"
June 23, 1980, Wakenaam Island, Essequibo, Guyana "
R Sathish,33870,,India,Allrounder,Right-hand bat,Right-arm medium,"
January 14, 1981, Trichy (now Tiruchchirappali), Tamil Nadu "
Shivam Sharma,717201,,India,,Right-hand bat,Right-arm offbreak,"
September 9, 1993, Delhi "
P Simran Singh,1161024,,India,Wicketkeeper batsman,Right-hand bat,,"
August 10, 2000 "
VRV Singh,35281,,India,,Right-hand bat,Right-arm medium-fast,"
September 17, 1984, Chandigarh, Punjab, India "
RS Sodhi,34078,,India,,Right-hand bat,Right-arm medium,"
October 18, 1980, Patiala, Punjab "
BB Sran,537126,,India,Bowler,Left-hand bat,Left-arm medium,"
December 10, 1992, Sirsa "
S Sreesanth,34274,,India,Bowler,Right-hand bat,Right-arm fast-medium,"
February 6, 1983, Kothamangalam, Kerala "
SJ Srivastava,34245,,India,Bowler,Right-hand bat,Left-arm fast-medium,"
September 22, 1981, Allahabad, Uttar Pradesh "
TM Srivastava,35401,,India,Top-order batsman,Left-hand bat,Right-arm medium,"
November 7, 1989, Kanpur, Uttar Pradesh "
Sunny Singh,35282,,India,Batsman,Right-hand bat,Right-arm medium-fast,"
December 18, 1986, Bhiwani "
Swapnil Singh,232292,,India,Bowler,Right-hand bat,Slow left-arm orthodox,"
January 22, 1991, Rae Bareilly, Uttar Pradesh "
PC Valthaty,35630,,India,Batsman,Right-hand bat,Right-arm medium,"
December 7, 1983, Bombay (now Mumbai), Maharashtra "
CV Varun,1108375,,India,Bowler,Right-hand bat,Legbreak googly,"
August 29, 1991, Bidar, Karnataka "
GC Viljoen,375126,,South Africa,Bowler,Right-hand bat,Right-arm fast,"
March 6, 1989, Witbank "
M Vohra,532856,,India,Opening batsman,Right-hand bat,Right-arm medium,"
July 18, 1993, Chandigarh, Punjab "
B Akhil,26206,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
October 7, 1977, Bangalore, Karnataka "
Y Gnaneswara Rao,28830,,India,Allrounder,Right-hand bat,Right-arm medium,"
August 25, 1984, Visakhapatnam, Andhra Pradesh "
RV Gomez,28846,,India,Allrounder,Right-hand bat,Right-arm medium,"
October 16, 1985 "
BJ Hodge,5674,,Australia,Top-order batsman,Right-hand bat,Right-arm offbreak,"
December 29, 1974, Sandringham, Victoria "
M Klinger,6161,,Australia,Batsman,Right-hand bat,,"
July 4, 1980, Kew, Melbourne, Victoria "
P Parameswaran,279562,,India,,Right-hand bat,Left-arm medium,"
May 30, 1985, Thanner Mukham "
P Prasanth,32211,,India,,Left-hand bat,Slow left-arm orthodox,"
May 22, 1985, Thiruvananthapuram, Kerala "
OA Shah,20123,,England,Batsman,Right-hand bat,Right-arm offbreak,"
October 22, 1978, Karachi, Sind, Pakistan "
R Vinay Kumar,35731,,India,Bowler,Right-hand bat,Right-arm medium,"
February 12, 1984, Davanagere, Karnataka "
SE Bond,36326,,New Zealand,Bowler,Right-hand bat,Right-arm fast,"
June 7, 1975, Christchurch, Canterbury "
MV Boucher,44111,,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
December 3, 1976, East London, Cape Province "
DM Bravo,277472,,West Indies,Top-order batsman,Left-hand bat,Right-arm medium,"
February 6, 1989, Trinidad "
A Chopra,27639,,India,Batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak","
September 19, 1977, Agra, Uttar Pradesh "
TK Curran,550235,,England,Bowling allrounder,Right-hand bat,Right-arm fast-medium,"
March 12, 1995, Cape Town, Cape Province "
DB Das,328163,,India,,Right-hand bat,Legbreak googly,"
September 22, 1986, Siliguri, Bengal "
C de Grandhomme,55395,,New Zealand,Allrounder,Right-hand bat,Right-arm medium-fast,"
July 22, 1986, Harare "
M de Lange,393279,,South Africa,Bowler,Right-hand bat,Right-arm fast,"
October 13, 1990, Tzaneen, Limpopo "
JL Denly,12454,,England,Top-order batsman,Right-hand bat,Legbreak,"
March 16, 1986, Canterbury, Kent "
LH Ferguson,493773,,New Zealand,Bowler,Right-hand bat,Right-arm fast,"
June 13, 1991, Auckland "
SC Ganguly,28779,,India,Batsman,Left-hand bat,Right-arm medium,"
July 8, 1972, Calcutta (now Kolkata), Bengal "
RS Gavaskar,28792,,India,,Left-hand bat,Slow left-arm orthodox,"
February 20, 1976, Kanpur, Uttar Pradesh "
AN Ghosh,220435,,India,Batsman,Right-hand bat,Right-arm medium,"
October 19, 1986, Barasat, Kolkatta "
SP Goswami,302579,,India,Wicketkeeper batsman,Left-hand bat,,"
May 18, 1989, Calcutta (now Kolkata), Bengal "
HF Gurney,244639,,England,Bowler,Right-hand bat,Left-arm fast-medium,"
October 25, 1986, Nottingham "
BJ Haddin,5560,,Australia,Wicketkeeper batsman,Right-hand bat,,"
October 23, 1977, Cowra, New South Wales "
Harpreet Singh,340854,,India,Batsman,Left-hand bat,Right-arm medium,"
August 11, 1991, Durg, Madhya Pradesh "
GB Hogg,5681,,Australia,Allrounder,Left-hand bat,Slow left-arm chinaman,"
February 6, 1971, Narrogin, Western Australia "
Iqbal Abdulla,277237,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
December 2, 1989, Azamgarh "
SP Jackson,237696,,India,Wicketkeeper batsman,Right-hand bat,,"
September 27, 1986, Bhavnagar, Saurashtra "
JH Kallis,45789,,South Africa,Allrounder,Right-hand bat,Right-arm fast-medium,"
October 16, 1975, Pinelands, Cape Town, Cape Province "
Kuldeep Yadav,559235,,India,Bowler,Left-hand bat,Slow left-arm chinaman,"
December 14, 1994, Kanpur, Uttar Pradesh "
CK Langeveldt,45963,,South Africa,Bowler,Right-hand bat,Right-arm fast-medium,"
December 17, 1974, Stellenbosch, Cape Province "
Mashrafe Mortaza,56007,,Bangladesh,Bowler,Right-hand bat,Right-arm fast-medium,"
October 5, 1983, Norail, Jessore "
BAW Mendis,268739,,Sri Lanka,Bowler,Right-hand bat,Right-arm offbreak,"
March 11, 1985, Moratuwa "
Mohammad Hafeez,41434,,Pakistan,Allrounder,Right-hand bat,Right-arm offbreak,"
October 17, 1980, Sargodha, Punjab "
KL Nagarkoti,1070188,,India,Bowler,Right-hand bat,Right-arm fast,"
December 28, 1999, Barmer, Rajasthan "
SP Narine,230558,,West Indies,Bowling allrounder,Left-hand bat,Right-arm offbreak,"
May 26, 1988, Arima, Trinidad & Tobago "
S Narwal,32084,,India,Allrounder,Left-hand bat,Right-arm medium,"
April 16, 1982, Chirao, Karnal, Haryana "
MK Pandey,290630,,India,Top-order batsman,Right-hand bat,Right-arm medium,"
September 10, 1989, Nainital, Uttaranchal "
MB Parmar,240734,,India,,Right-hand bat,Right-arm offbreak,"
April 12, 1988, Gandhinagar, Gujarat "
YK Pathan,32498,,India,Allrounder,Right-hand bat,Right-arm offbreak,"
November 17, 1982, Baroda, Gujarat "
RT Ponting,7133,,Australia,Top-order batsman,Right-hand bat,Right-arm medium,"
December 19, 1974, Launceston, Tasmania "
M Prasidh Krishna,917159,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
February 19, 1996, Bangalore, Karnataka "
Y Prithvi Raj,1121579,,India,Bowler,Left-hand bat,Left-arm medium,"
February 20, 1998, Duggirala, Andra "
N Rana,604527,,India,Middle-order batsman,Left-hand bat,Right-arm offbreak,"
December 27, 1993, Delhi "
Salman Butt,42683,,Pakistan,Batsman,Left-hand bat,Right-arm offbreak,"
October 7, 1984, Lahore, Punjab "
S Sandeep Warrier,592735,,India,Bowler,Right-hand bat,Right-arm medium,"
April 4, 1991, Thrissur, Kerala "
SS Sarkar,34402,,India,,Right-hand bat,Right-arm medium,"
December 15, 1984, Calcutta (now Kolkata), Bengal "
JPR Scantlebury-Searles,230554,,West Indies,Bowling allrounder,Right-hand bat,Right-arm fast-medium,"
December 21, 1986, Durants Village, St James, Barbados "
SMSM Senanayake,273439,,Sri Lanka,Bowler,Right-hand bat,Right-arm offbreak,"
February 9, 1985, Colombo "
SS Shaikh,377437,,India,,Right-hand bat,Right-arm medium,"
January 18, 1987, Bombay (now Mumbai), Maharashtra "
Shakib Al Hasan,56143,,Bangladesh,Allrounder,Left-hand bat,Slow left-arm orthodox,"
March 24, 1987, Magura, Jessore "
Shivam Mavi,1079848,,India,Allrounder,Right-hand bat,Right-arm fast-medium,"
November 26, 1998, Noida, Uttar Pradesh "
Shoaib Akhtar,42655,,Pakistan,Bowler,Right-hand bat,Right-arm fast,"
August 13, 1975, Rawalpindi, Punjab "
Shubman Gill,1070173,,India,Opening batsman,Right-hand bat,Right-arm offbreak,"
September 8, 1999, Fazilka, Punjab "
RK Singh,723105,,India,Middle-order batsman,Left-hand bat,Right-arm offbreak,"
October 12, 1997, Aligarh, Uttar Pradesh "
T Taibu,55805,,Zimbabwe,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
May 14, 1983, Harare "
RN ten Doeschate,47660,,Netherlands,Allrounder,Right-hand bat,Right-arm medium-fast,"
June 30, 1980, Port Elizabeth, Cape Province "
RA Tripathi,446763,,India,Top-order batsman,Right-hand bat,Right-arm medium,"
March 2, 1991, Ranchi "
Umar Gul,43524,,Pakistan,Bowler,Right-hand bat,Right-arm fast-medium,"
April 14, 1984, Peshawar, North-Western Frontier Province "
RV Uthappa,35582,,India,Batsman,Right-hand bat,Right-arm medium,"
November 11, 1985, Coorg, Karnataka "
MN van Wyk,47711,,South Africa,Wicketkeeper batsman,Right-hand bat,Slow left-arm orthodox,"
March 20, 1979, Bloemfontein, Orange Free State "
CR Woakes,247235,,England,Allrounder,Right-hand bat,Right-arm fast-medium,"
March 2, 1989, Birmingham, Warwickshire "
SA Yadav,446507,,India,Batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak","
September 14, 1990, Mumbai, Maharashtra "
Yashpal Singh,36130,,India,Batsman,Right-hand bat,Right-arm medium,"
November 27, 1981, Delhi "
AN Ahmed,228430,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
November 5, 1988, Guwahati, Assam "
JP Behrendorff,272477,,Australia,Bowler,Right-hand bat,Left-arm fast-medium,"
April 20, 1990, Camden, New South Wales "
STR Binny,27223,,India,Allrounder,Right-hand bat,Right-arm medium,"
June 3, 1984, Bangalore, Karnataka "
AC Blizzard,4498,,Australia,Batsman,Left-hand bat,Left-arm medium,"
June 27, 1984, Shepparton, Victoria "
JJ Bumrah,625383,,India,Bowler,Right-hand bat,Right-arm fast,"
December 6, 1993, Ahmedabad "
JC Buttler,308967,,England,Wicketkeeper batsman,Right-hand bat,,"
September 8, 1990, Taunton, Somerset "
YS Chahal,430246,,India,Bowler,Right-hand bat,Legbreak googly,"
July 23, 1990, Jind, Haryana "
RD Chahar,1064812,,India,Bowler,Right-hand bat,Legbreak googly,"
August 4, 1999, Bharaatpur, Rajasthan "
BCJ Cutting,230371,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
January 30, 1987, Sunnybank, Brisbane, Queensland "
A Dananjaya,574178,,Sri Lanka,Allrounder,Left-hand bat,"Right-arm offbreak, Legbreak","
October 4, 1993, Panadura "
BR Dunk,388678,,Australia,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,"
March 11, 1987, Innisfail, Queensland "
CRD Fernando,48835,,Sri Lanka,Bowler,Right-hand bat,Right-arm fast-medium,"
July 19, 1979, Colombo "
JEC Franklin,37004,,New Zealand,Allrounder,Left-hand bat,Left-arm medium,"
November 7, 1980, Wellington "
S Gopal,344580,,India,Allrounder,Right-hand bat,Legbreak,"
September 4, 1993, Banglaore, Karnataka "
DJ Jacobs,45782,,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
November 4, 1982, Klerksdorp, Transvaal "
ST Jayasuriya,49209,,Sri Lanka,Allrounder,Left-hand bat,Slow left-arm orthodox,"
June 30, 1969, Matara "
AS Joseph,670031,,West Indies,Bowler,Right-hand bat,Right-arm fast-medium,"
November 20, 1996, Antigua "
MA Khote,30220,,India,,Right-hand bat,Right-arm medium,"
April 22, 1980, Sopra, Thana, Maharashtra "
SD Lad,422342,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
May 23, 1992, Mumbai "
RE Levi,46148,,South Africa,Opening batsman,Right-hand bat,Right-arm medium,"
January 14, 1988, Johannesburg "
E Lewis,431901,,West Indies,Opening batsman,Left-hand bat,,"
December 27, 1991, Port of Spain, Trinidad "
MJ McClenaghan,319439,,New Zealand,Bowler,Left-hand bat,Left-arm fast-medium,"
June 11, 1986, Hastings, Hawke's Bay "
CJ McKay,6903,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
February 20, 1983, Melbourne, Victoria "
C Madan,31104,,India,Wicketkeeper,Right-hand bat,,"
October 15, 1982 "
SL Malinga,49758,,Sri Lanka,Bowler,Right-hand bat,Right-arm fast,"
August 28, 1983, Galle "
M Markande,1081442,,India,Bowler,Right-hand bat,Legbreak,"
November 11, 1997, Bathinda, Punjab "
Mohammad Ashraful,55988,,Bangladesh,Middle-order batsman,Right-hand bat,"Right-arm offbreak, Legbreak","
July 7, 1984, Dhaka "
AG Murtaza,26490,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
January 1, 1990, Allahabad, Uttar Pradesh "
Mustafizur Rahman,330902,,Bangladesh,Bowler,Left-hand bat,Left-arm fast-medium,"
September 6, 1995, Satkhira "
C Nanda,32093,,India,,Right-hand bat,Legbreak,"
March 29, 1979, Delhi "
GR Napier,17991,,England,,Right-hand bat,Right-arm medium,"
January 6, 1980, Colchester, Essex "
A Nel,46569,,South Africa,,Right-hand bat,Right-arm fast-medium,"
July 15, 1977, Germiston, Transvaal "
HH Pandya,625371,,India,Allrounder,Right-hand bat,Right-arm medium-fast,"
October 11, 1993, Choryasi, Gujarat "
KH Pandya,471342,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
March 24, 1991, Ahmedabad, Gujarat "
JL Pattinson,272465,,Australia,Bowler,Left-hand bat,Right-arm fast-medium,"
May 3, 1990, Melbourne, Victoria "
RV Pawar,32305,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 6, 1979, Bombay (now Mumbai), Maharashtra "
RJ Peterson,46750,,South Africa,Bowler,Left-hand bat,Slow left-arm orthodox,"
August 4, 1979, Port Elizabeth, Cape Province "
KA Pollard,230559,,West Indies,Allrounder,Right-hand bat,Right-arm medium,"
May 12, 1987, Tacarigua, Trinidad "
SM Pollock,46774,,South Africa,Allrounder,Right-hand bat,Right-arm fast-medium,"
July 16, 1973, Port Elizabeth, Cape Province "
RW Price,55698,,Zimbabwe,Bowler,Right-hand bat,Slow left-arm orthodox,"
June 12, 1976, Salisbury (now Harare) "
AM Rahane,277916,,India,Top-order batsman,Right-hand bat,Right-arm medium,"
June 6, 1988, Ashwi-KD, Maharashtra "
RR Raje,290713,,India,,Right-hand bat,Right-arm fast-medium,"
September 3, 1986, Neral, Maharashtra "
Rasikh Salam,1161489,,India,Bowler,Right-hand bat,Right-arm medium,"
April 5, 2001 "
L Ronchi,7502,,New Zealand,Wicketkeeper batsman,Right-hand bat,,"
April 23, 1981, Dannevirke, Manawatu, New Zealand "
AS Roy,1079839,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
November 30, 1998, Saraikela Kharswan, Jharkhand "
K Santokie,314622,,West Indies,Bowler,Left-hand bat,Left-arm medium,"
December 20, 1984, Clarendon, Jamaica "
PR Shah,34282,,India,Wicketkeeper batsman,Right-hand bat,,"
November 3, 1987, Baroda, Gujarat "
RA Shaikh,279460,,India,,Left-hand bat,Left-arm medium,"
June 12, 1985 "
LMP Simmons,53116,,West Indies,Top-order batsman,Right-hand bat,Right-arm medium-fast,"
January 25, 1985, Port of Spain, Trinidad "
P Suyal,431213,,India,Bowler,Right-hand bat,Left-arm medium,"
October 15, 1989, Paudi, Uttaranchal "
YV Takawale,35357,,India,,Right-hand bat,,"
November 5, 1984, Pune, Maharashtra "
SR Tendulkar,35320,,India,Top-order batsman,Right-hand bat,"Right-arm offbreak, Legbreak googly","
April 24, 1973, Bombay (now Mumbai), Maharashtra "
DJ Thornely,8002,,Australia,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak","
October 1, 1978, Albury, New South Wales "
VS Yeligati,307448,,India,,Right-hand bat,Right-arm offbreak,"
April 23, 1985, Bombay (now Mumbai), Maharashtra "
UA Birla,262533,,India,,Right-hand bat,Right-arm medium,"
November 17, 1989, Calcutta (now Kolkata), Bengal "
MJ Clarke,4578,,Australia,Middle-order batsman,Right-hand bat,Slow left-arm orthodox,"
April 2, 1981, Liverpool, New South Wales "
CJ Ferguson,5236,,Australia,Middle-order batsman,Right-hand bat,Right-arm medium,"
November 21, 1984, North Adelaide, South Australia "
Kamran Khan,391121,,India,Bowler,Left-hand bat,Left-arm medium-fast,"
March 10, 1991, Azamgarh, Uttar Pradesh "
B Kumar,326016,,India,Bowler,Right-hand bat,Right-arm medium,"
February 5, 1990, Meerut, Uttar Pradesh "
NL McCullum,37749,,New Zealand,Bowler,Right-hand bat,Right-arm offbreak,"
September 1, 1980, Dunedin, Otago "
AP Majumdar,31750,,India,,Right-hand bat,Legbreak googly,"
April 30, 1984, Chandannagore, Hooghly, Bengal, India "
SS Mundhe,279862,,India,Allrounder,Right-hand bat,Right-arm medium,"
October 27, 1988, Nanded "
TD Paine,7252,,Australia,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
December 8, 1984, Hobart, Tasmania "
Parvez Rasool,378496,,India,Bowling allrounder,Right-hand bat,Right-arm offbreak,"
February 13, 1989, Bijbehara, Jammu and Kashmir "
S Rana,33757,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
September 18, 1984, Gurgaon, Haryana "
M Rawat,33440,,India,,Right-hand bat,,"
October 25, 1985, Faridabad "
KW Richardson,272262,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
February 12, 1991, Eudunda, South Australia "
JD Ryder,38373,,New Zealand,Allrounder,Left-hand bat,Right-arm medium,"
August 6, 1984, Masterton, Wellington "
GC Smith,47270,,South Africa,Opening batsman,Left-hand bat,Right-arm offbreak,"
February 1, 1981, Johannesburg, Transvaal "
